id,kangxiIndex,radical,pinyin,nameVi,meaningVi,strokeCount,variants,groupKey,source,sourceUrl,verificationStatus
radical_001,1,一,yī,Nhất,số một,1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_002,2,丨,gǔn,Cổn,nét sổ,1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_003,3,丶,zhǔ,Chủ,"nét chấm, điểm",1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_004,4,丿,piě,Phiệt,"nét phẩy, nét xiên trái",1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_005,5,乙,yǐ,Ất,can thứ hai; nét cong,1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_006,6,亅,jué,Quyết,nét sổ có móc,1,,1_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_007,7,二,èr,Nhị,số hai,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_008,8,亠,tóu,Đầu,"phần đầu, phần trên",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_009,9,人,rén,Nhân,người,2,亻,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_010,10,儿,ér,Nhi,trẻ con; người,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_011,11,入,rù,Nhập,vào,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_012,12,八,bā,Bát,tám; chia ra,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_013,13,冂,jiōng,Quynh,"vùng đất trống, biên giới xa",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_014,14,冖,mì,Mịch,"che phủ, trùm lên",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_015,15,冫,bīng,Băng,"băng, nước đá",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_016,16,几,jī,Kỷ,ghế nhỏ; bàn,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_017,17,凵,kǎn,Khảm,chỗ lõm; há miệng,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_018,18,刀,dāo,Đao,"dao, đao",2,刂,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_019,19,力,lì,Lực,sức mạnh,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_020,20,勹,bāo,Bao,bao bọc,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_021,21,匕,bǐ,Chủy,cái thìa,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_022,22,匚,fāng,Phương,tủ/hộp vuông,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_023,23,匸,xǐ,Hệ,"che đậy, giấu",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_024,24,十,shí,Thập,số mười,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_025,25,卜,bǔ,Bốc,xem bói,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_026,26,卩,jié,Tiết,đốt tre; dấu tiết,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_027,27,厂,hǎn,Hán,"sườn núi, vách đá",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_028,28,厶,sī,Tư,riêng tư,2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_029,29,又,yòu,Hựu,"lại, một lần nữa",2,,2_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
