id,word,meaningVi,status,reviewed,reviewRequired,sourceSort,previousDraftMeaningVi
hsk1_001,爱,"yêu, yêu thích",draft,False,True,1,yêu; thích
hsk1_002,八,tám,draft,False,True,2,tám
hsk1_003,爸爸,"bố, cha",draft,False,True,3,bố; ba
hsk1_004,吧,"nhé, nào, đi",draft,False,True,4,trợ từ cuối câu
hsk1_005,白天,ban ngày,draft,False,True,5,ban ngày
hsk1_006,百,trăm,draft,False,True,6,một trăm
hsk1_007,半,"một nửa, nửa",draft,False,True,7,một nửa; nửa
hsk1_008,包子,bánh bao,draft,False,True,8,bánh bao
hsk1_009,杯子,"cốc, ly",draft,False,True,9,cái cốc; cốc
hsk1_010,本1,"lượng từ cho sách, vở",draft,False,True,10,lượng từ cho sách
hsk1_011,边,"bên, phía",draft,False,True,11,bên; phía
hsk1_012,病,bệnh; bị bệnh,draft,False,True,12,bệnh; bị bệnh
hsk1_013,不,không,draft,False,True,13,không; chẳng
hsk1_014,不客气,không có gì; đừng khách sáo,draft,False,True,14,không có gì; đừng khách sáo
hsk1_015,不要,đừng; không muốn,draft,False,True,15,đừng; không được
hsk1_016,菜,món ăn; rau,draft,False,True,16,món ăn; rau; đồ ăn
hsk1_017,茶,trà,draft,False,True,17,trà
hsk1_018,唱,hát,draft,False,True,18,hát
hsk1_019,超市,siêu thị,draft,False,True,19,siêu thị
hsk1_020,车,xe,draft,False,True,20,xe; ô tô
hsk1_021,吃,ăn,draft,False,True,21,ăn
hsk1_022,出租车,taxi; xe taxi,draft,False,True,22,taxi
hsk1_023,穿,mặc,draft,False,True,23,mặc; mặc vào
hsk1_024,打电话,gọi điện thoại,draft,False,True,24,gọi điện thoại
hsk1_025,大,"to, lớn",draft,False,True,25,to; lớn
hsk1_026,大家,mọi người,draft,False,True,26,mọi người
hsk1_027,大学,đại học; trường đại học,draft,False,True,27,đại học
hsk1_028,大学生,sinh viên đại học,draft,False,True,28,sinh viên đại học
hsk1_029,到,"đến, tới",draft,False,True,29,đến; tới
hsk1_030,的,của; trợ từ kết cấu,draft,False,True,30,trợ từ kết cấu; của
hsk1_031,第,"thứ, số thứ tự",draft,False,True,31,thứ; số thứ tự
hsk1_032,弟弟,em trai,draft,False,True,32,em trai
hsk1_033,点1,giờ; điểm; một chút,draft,False,True,33,giờ; điểm
hsk1_034,店,cửa hàng,draft,False,True,34,cửa hàng; tiệm
hsk1_035,电话,điện thoại,draft,False,True,35,điện thoại
hsk1_036,电脑,máy tính,draft,False,True,36,máy tính
hsk1_037,电视,tivi; truyền hình,draft,False,True,37,tivi; truyền hình
hsk1_038,电影,phim; điện ảnh,draft,False,True,38,phim; điện ảnh
hsk1_039,电影院,rạp chiếu phim,draft,False,True,39,rạp chiếu phim
hsk1_040,东西,đồ vật; thứ,draft,False,True,40,đồ vật; đồ đạc
hsk1_041,都,đều,draft,False,True,41,đều; tất cả
hsk1_042,读,đọc,draft,False,True,42,đọc
hsk1_043,读书,đọc sách; học,draft,False,True,43,đọc sách
hsk1_044,对,đúng; đối với,draft,False,True,44,đối với; đúng
hsk1_045,对不起,xin lỗi,draft,False,True,45,xin lỗi
hsk1_046,多,nhiều; bao nhiêu,draft,False,True,46,nhiều; bao nhiêu
hsk1_047,多少,bao nhiêu,draft,False,True,47,bao nhiêu
hsk1_048,儿子,con trai,draft,False,True,48,con trai
hsk1_049,二,hai,draft,False,True,49,hai
hsk1_050,饭,cơm; bữa ăn,draft,False,True,50,cơm; bữa ăn
hsk1_051,饭店,nhà hàng; khách sạn,draft,False,True,51,nhà hàng; quán ăn
hsk1_052,房间,phòng,draft,False,True,52,phòng
hsk1_053,非常,rất; vô cùng,draft,False,True,53,rất; vô cùng
hsk1_054,飞机,máy bay,draft,False,True,54,máy bay
hsk1_055,分,phút; phần,draft,False,True,55,phút; phần
hsk1_056,分钟,phút,draft,False,True,56,phút
hsk1_057,高兴,vui; vui mừng,draft,False,True,57,vui; vui vẻ
