id,word,sourceWord,pinyin,introducedLevel,hskLevels,partOfSpeechSource,sourceSort,sourceLevelName
hsk3_001,阿姨,阿姨,āyí,3,"1,2,3",名,501,三级
hsk3_002,矮,矮,ǎi,3,"1,2,3",形,502,三级
hsk3_003,爱人,爱人,àiren,3,"1,2,3",名,503,三级
hsk3_004,安静,安静,ānjìng,3,"1,2,3",形,504,三级
hsk3_005,安全,安全,ānquán,3,"1,2,3",形,505,三级
hsk3_006,把,把,bǎ,3,"1,2,3",量、介,506,三级
hsk3_007,搬,搬,bān,3,"1,2,3",动,507,三级
hsk3_008,班级,班级,bānjí,3,"1,2,3",名,508,三级
hsk3_009,搬家,搬家,bānjiā,3,"1,2,3",动,509,三级
hsk3_010,办,办,bàn,3,"1,2,3",动,510,三级
hsk3_011,办法,办法,bànfǎ,3,"1,2,3",名,511,三级
hsk3_012,办公室,办公室,bàngōngshì,3,"1,2,3",名,512,三级
hsk3_013,半天,半天,bàntiān,3,"1,2,3",数量,513,三级
hsk3_014,帮助,帮助,bāngzhù,3,"1,2,3",动,514,三级
hsk3_015,饱,饱,bǎo,3,"1,2,3",形,515,三级
hsk3_016,报纸,报纸,bàozhǐ,3,"1,2,3",名,516,三级
hsk3_017,北,北,běi,3,"1,2,3",名,517,三级
hsk3_018,北方,北方,běifāng,3,"1,2,3",名,518,三级
hsk3_019,被,被,bèi,3,"1,2,3",介,519,三级
hsk3_020,笔记,笔记,bǐjì,3,"1,2,3",名,520,三级
hsk3_021,比较,比较,bǐjiào,3,"1,2,3",动、介、副,521,三级
hsk3_022,笔记本,笔记本,bǐjìběn,3,"1,2,3",名,522,三级
hsk3_023,比如,比如,bǐrú,3,"1,2,3",动,523,三级
hsk3_024,比赛,比赛,bǐsài,3,"1,2,3",动、名,524,三级
hsk3_025,必须,必须,bìxū,3,"1,2,3",副,525,三级
hsk3_026,变,变,biàn,3,"1,2,3",动,526,三级
hsk3_027,遍,遍,biàn,3,"1,2,3",量,527,三级
hsk3_028,变成,变成,biànchéng,3,"1,2,3",动,528,三级
hsk3_029,变化,变化,biànhuà,3,"1,2,3",动、名,529,三级
hsk3_030,表演,表演,biǎoyǎn,3,"1,2,3",动,530,三级
hsk3_031,别的,别的,biéde,3,"1,2,3",代,531,三级
hsk3_032,别人,别人,biérén,3,"1,2,3",代,532,三级
hsk3_033,宾馆,宾馆,bīnguǎn,3,"1,2,3",名,533,三级
hsk3_034,冰,冰,bīng,3,"1,2,3",名、（动）,534,三级（五级）
hsk3_035,冰激凌,冰激凌,bīngjīlíng,3,"1,2,3",名,535,三级
hsk3_036,冰箱,冰箱,bīngxiāng,3,"1,2,3",名,536,三级
hsk3_037,病人,病人,bìngrén,3,"1,2,3",名,537,三级
hsk3_038,不但,不但,búdàn,3,"1,2,3",连,538,三级
hsk3_039,不见,不见,bújiàn,3,"1,2,3",动,539,三级
hsk3_040,不用,不用,búyòng,3,"1,2,3",副,540,三级
hsk3_041,不同,不同,bù tóng,3,"1,2,3",,541,三级
hsk3_042,不久,不久,bùjiǔ,3,"1,2,3",形,542,三级
hsk3_043,不行,不行,bùxíng,3,"1,2,3",动、形,543,三级
hsk3_044,才,才1,cái,3,"1,2,3",副,544,三级
hsk3_045,菜单,菜单,càidān,3,"1,2,3",名,545,三级
hsk3_046,参加,参加,cānjiā,3,"1,2,3",动,546,三级
hsk3_047,草,草,cǎo,3,"1,2,3",名,547,三级
hsk3_048,草地,草地,cǎodì,3,"1,2,3",名,548,三级
hsk3_049,层,层,céng,3,"1,2,3",量,549,三级
hsk3_050,查,查,chá,3,"1,2,3",动,550,三级
hsk3_051,差,差,chà,3,"1,2,3",形、动,551,三级
hsk3_052,差不多,差不多,chàbuduō,3,"1,2,3",形、副,552,三级
hsk3_053,尝,尝,cháng,3,"1,2,3",动,553,三级
hsk3_054,常,常,cháng,3,"1,2,3",副,554,三级
hsk3_055,常见,常见,cháng jiàn,3,"1,2,3",,555,三级
hsk3_056,常用,常用,cháng yòng,3,"1,2,3",,556,三级
hsk3_057,常常,常常,chángcháng,3,"1,2,3",副,557,三级
hsk3_058,衬衫,衬衫,chènshān,3,"1,2,3",名,558,三级
hsk3_059,成绩,成绩,chéngjì,3,"1,2,3",名,559,三级
hsk3_060,城市,城市,chéngshì,3,"1,2,3",名,560,三级
hsk3_061,迟到,迟到,chídào,3,"1,2,3",动,561,三级
hsk3_062,出发,出发,chūfā,3,"1,2,3",动,562,三级
hsk3_063,出生,出生,chūshēng,3,"1,2,3",动,563,三级
hsk3_064,出院,出院,chūyuàn,3,"1,2,3",动,564,三级
hsk3_065,初中,初中,chūzhōng,3,"1,2,3",名,565,三级
hsk3_066,除了,除了,chúle,3,"1,2,3",介,566,三级
hsk3_067,船,船,chuán,3,"1,2,3",名,567,三级
hsk3_068,春天,春天,chūntiān,3,"1,2,3",名,568,三级
hsk3_069,词典,词典,cídiǎn,3,"1,2,3",名,569,三级
hsk3_070,聪明,聪明,cōngmíng,3,"1,2,3",形,570,三级
hsk3_071,打扫,打扫,dǎsǎo,3,"1,2,3",动,571,三级
hsk3_072,打算,打算,dǎsuàn,3,"1,2,3",动、名,572,三级
hsk3_073,大概,大概,dàgài,3,"1,2,3",形、副、（名）,573,三级（六级）
hsk3_074,大人,大人,dàren,3,"1,2,3",名,574,三级
hsk3_075,大小,大小,dàxiǎo,3,"1,2,3",名,575,三级
hsk3_076,大熊猫,大熊猫,dàxióngmāo,3,"1,2,3",名,576,三级
hsk3_077,大衣,大衣,dàyī,3,"1,2,3",名,577,三级
hsk3_078,带,带,dài,3,"1,2,3",动、（名）,578,三级（五级）
hsk3_079,担心,担心,dānxīn,3,"1,2,3",动,579,三级
hsk3_080,蛋糕,蛋糕,dàngāo,3,"1,2,3",名,580,三级
hsk3_081,当然,当然,dāngrán,3,"1,2,3",副,581,三级
hsk3_082,到处,到处,dàochù,3,"1,2,3",副,582,三级
hsk3_083,得,得,dé,3,"1,2,3",动,583,三级
hsk3_084,得到,得到,dédào,3,"1,2,3",动,584,三级
hsk3_085,得分,得分,défēn,3,"1,2,3",动、名,585,三级
hsk3_086,的话,的话,dehuà,3,"1,2,3",助,586,三级
hsk3_087,得,得,děi,3,"1,2,3",动,587,三级
hsk3_088,灯,灯,dēng,3,"1,2,3",名,588,三级
hsk3_089,地,地,dì,3,"1,2,3",名,589,三级
hsk3_090,地点,地点,dìdiǎn,3,"1,2,3",名,590,三级
hsk3_091,地方,地方,dìfang,3,"1,2,3",名,591,三级
hsk3_092,地图,地图,dìtú,3,"1,2,3",名,592,三级
hsk3_093,电,电,diàn,3,"1,2,3",名、（动）,593,三级（五级）
hsk3_094,电梯,电梯,diàntī,3,"1,2,3",名,594,三级
hsk3_095,电子书,电子书,diànzǐshū,3,"1,2,3",名,595,三级
hsk3_096,丢,丢,diū,3,"1,2,3",动,596,三级
hsk3_097,东,东,dōng,3,"1,2,3",名,597,三级
hsk3_098,东北,东北,dōngběi,3,"1,2,3",名,598,三级
hsk3_099,东方,东方,dōngfāng,3,"1,2,3",名,599,三级
hsk3_100,东南,东南,dōngnán,3,"1,2,3",名,600,三级
hsk3_101,冬天,冬天,dōngtiān,3,"1,2,3",名,601,三级
hsk3_102,懂得,懂得,dǒngde,3,"1,2,3",动,602,三级
hsk3_103,动物,动物,dòngwù,3,"1,2,3",名,603,三级
hsk3_104,动物园,动物园,dòngwùyuán,3,"1,2,3",名,604,三级
hsk3_105,短,短,duǎn,3,"1,2,3",形,605,三级
hsk3_106,短裤,短裤,duǎnkù,3,"1,2,3",名,606,三级
hsk3_107,段,段,duàn,3,"1,2,3",量,607,三级
hsk3_108,锻炼,锻炼,duànliàn,3,"1,2,3",动,608,三级
hsk3_109,对话,对话,duìhuà,3,"1,2,3",动,609,三级
hsk3_110,饿,饿,è,3,"1,2,3",形,610,三级
hsk3_111,而且,而且,érqiě,3,"1,2,3",连,611,三级
hsk3_112,耳朵,耳朵,ěrduo,3,"1,2,3",名,612,三级
hsk3_113,耳机,耳机,ěrjī,3,"1,2,3",名,613,三级
hsk3_114,发,发,fā,3,"1,2,3",动,614,三级
hsk3_115,发烧,发烧,fāshāo,3,"1,2,3",动,615,三级
hsk3_116,发生,发生,fāshēng,3,"1,2,3",动,616,三级
hsk3_117,发现,发现,fāxiàn,3,"1,2,3",动,617,三级
hsk3_118,发展,发展,fāzhǎn,3,"1,2,3",动,618,三级
hsk3_119,方便,方便,fāngbiàn,3,"1,2,3",形,619,三级
hsk3_120,方便面,方便面,fāngbiànmiàn,3,"1,2,3",名,620,三级
hsk3_121,方法,方法,fāngfǎ,3,"1,2,3",名,621,三级
hsk3_122,方向,方向,fāngxiàng,3,"1,2,3",名,622,三级
hsk3_123,房子,房子,fángzi,3,"1,2,3",名,623,三级
hsk3_124,放,放,fàng,3,"1,2,3",动,624,三级
hsk3_125,放假,放假,fàngjià,3,"1,2,3",动,625,三级
hsk3_126,放心,放心,fàngxīn,3,"1,2,3",动,626,三级
